BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,Colour,Tokenized_Details
fratini,printed viscose collar neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,799.0,50.0,a-line dress,black,"['printed', 'viscose', 'collar', 'neck', 'womens', 'a-line', 'dress']"
life,solid cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,off white,"['solid', 'cotton', 'lycra', 'round', 'neck', 'womens', 't-shirt']"
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",599.0,299.0,50.0,t-shirt,lilac,"['printed', 'jersey', 'round', 'neck', 'womens', 't-shirt']"
only,checks cotton womens top,"Size:34,36,38,40,42",1999.0,1399.0,30.0,top,white,"['checks', 'cotton', 'womens', 'top']"
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34,36",1299.0,649.0,50.0,jeans,white,"['regular', 'fit', 'regular', 'length', 'cotton', 'lycra', 'womens', 'jeans']"
van heusen,solid polyester collar neck womens top,"Size:Small,X-Small",1699.0,999.0,41.0,top,black,"['solid', 'polyester', 'collar', 'neck', 'womens', 'top']"
fratini,solid polyester round neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,799.0,50.0,a-line dress,aubergine,"['solid', 'polyester', 'round', 'neck', 'womens', 'a-line', 'dress']"
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,pink,"['printed', 'cotton', 'lycra', 'round', 'neck', 'womens', 't-shirt']"
fratini,solid round neck viscose womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,749.0,50.0,regular dress,tan,"['solid', 'round', 'neck', 'viscose', 'womens', 'regular', 'dress']"
kraus,super skinny fit ankle length cotton blend womens jeans,"Size:28,30,32,34,36,38",1995.0,1396.0,30.0,jeans,blue,"['super', 'skinny', 'fit', 'ankle', 'length', 'cotton', 'blend', 'womens', 'jeans']"
life,checks cotton blend collar neck womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649.0,50.0,regular top,sage,"['checks', 'cotton', 'blend', 'collar', 'neck', 'womens', 'regular', 'top']"
life,embroidered cotton blend round neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649.0,50.0,top,blue,"['embroidered', 'cotton', 'blend', 'round', 'neck', 'womens', 'top']"
rare,solid polyester blend boat neck womens flared dress,"Size:Large,Medium,Small,X-Large",1699.0,764.0,55.0,flared dress,black,"['solid', 'polyester', 'blend', 'boat', 'neck', 'womens', 'flared', 'dress']"
and,solid polyester square neck womens flared dress,"Size:10,12,14,16,18",2699.0,2159.0,20.0,flared dress,sage,"['solid', 'polyester', 'square', 'neck', 'womens', 'flared', 'dress']"
life,solid cotton blend round neck womens t-shirt,"Size:Large,Medium,X-Large,X-Small",899.0,449.0,50.0,t-shirt,natural,"['solid', 'cotton', 'blend', 'round', 'neck', 'womens', 't-shirt']"
kraus,wide leg fit ankle length cotton womens jeans,"Size:28,30,32",1695.0,1525.0,10.0,jeans,blue,"['wide', 'leg', 'fit', 'ankle', 'length', 'cotton', 'womens', 'jeans']"
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Small",699.0,349.0,50.0,t-shirt,red,"['printed', 'jersey', 'round', 'neck', 'womens', 't-shirt']"
fratini,solid square neck polyester womens woven top,"Size:Large,Medium,X-Large,XX-Large",999.0,499.0,50.0,woven top,natural,"['solid', 'square', 'neck', 'polyester', 'womens', 'woven', 'top']"
fratini,solid v-neck tencel womens a-line dress,"Size:Large,Small",1699.0,849.0,50.0,a-line dress,light blue,"['solid', 'v-neck', 'tencel', 'womens', 'a-line', 'dress']"
zink london,printed cotton round neck womens t-shirt,Size:X-Large,1299.0,399.0,69.0,t-shirt,brown,"['printed', 'cotton', 'round', 'neck', 'womens', 't-shirt']"
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32",999.0,499.0,50.0,jeans,mid stone,"['regular', 'fit', 'regular', 'length', 'cotton', 'lycra', 'womens', 'jeans']"
zink london,textured polyester round neck womens straight top,"Size:Large,Small,X-Small",1399.0,839.0,40.0,straight top,natural,"['textured', 'polyester', 'round', 'neck', 'womens', 'straight', 'top']"
allen solly,printed stylized polyester womens fit and flare dress,"Size:Large,Medium,Small,X-Large",2499.0,1499.0,40.0,fit and flare dress,grey,"['printed', 'stylized', 'polyester', 'womens', 'fit', 'flare', 'dress']"
stop,solid polyester regular neck womens top,"Size:Large,Medium,Small,X-Large,XX-Large",1299.0,649.0,50.0,top,sage,"['solid', 'polyester', 'regular', 'neck', 'womens', 'top']"
only,lace cotton collar neck womens top,"Size:34,36,38,40,42",2499.0,1499.0,40.0,top,red,"['lace', 'cotton', 'collar', 'neck', 'womens', 'top']"
fratini,regular fit regular length cotton blend womens jeans,"Size:28,30,32,34,36",1299.0,649.0,50.0,jeans,white,"['regular', 'fit', 'regular', 'length', 'cotton', 'blend', 'womens', 'jeans']"
fratini,printed square neck polyester womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1699.0,849.0,50.0,regular dress,pink,"['printed', 'square', 'neck', 'polyester', 'womens', 'regular', 'dress']"
van heusen,solid polyester v neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,999.0,41.0,shirt,white,"['solid', 'polyester', 'v', 'neck', 'womens', 'shirt']"
only,self design viscose square neck womens top,"Size:34,36,38,40,42",2299.0,1379.0,40.0,top,white,"['self', 'design', 'viscose', 'square', 'neck', 'womens', 'top']"
life,printed blended round neck womens shift dress,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749.0,50.0,shift dress,navy,"['printed', 'blended', 'round', 'neck', 'womens', 'shift', 'dress']"
zink london,solid collar neck polyester womens casual shirt,"Size:Medium,Small,XX-Large",1699.0,849.0,50.0,casual shirt,green,"['solid', 'collar', 'neck', 'polyester', 'womens', 'casual', 'shirt']"
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,sage,"['printed', 'cotton', 'lycra', 'round', 'neck', 'womens', 't-shirt']"
faballey,embroidered cotton square neck womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",2600.0,2080.0,20.0,regular dress,white,"['embroidered', 'cotton', 'square', 'neck', 'womens', 'regular', 'dress']"
life,printed cotton blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,t-shirt,black,"['printed', 'cotton', 'blend', 'round', 'neck', 'womens', 't-shirt']"
infuse,floral rayon v neck womens strappy dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499.0,749.0,50.0,strappy dress,pista green,"['floral', 'rayon', 'v', 'neck', 'womens', 'strappy', 'dress']"
kraus,baggy fit ankle length cotton womens jeans,"Size:28,30,32,34",1595.0,1116.0,30.0,jeans,light blue,"['baggy', 'fit', 'ankle', 'length', 'cotton', 'womens', 'jeans']"
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,blue,"['printed', 'cotton', 'lycra', 'round', 'neck', 'womens', 't-shirt']"
fratini,solid polyester blend round neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1899.0,949.0,50.0,a-line dress,pink,"['solid', 'polyester', 'blend', 'round', 'neck', 'womens', 'a-line', 'dress']"
madame,solid polyester v neck womens top,"Size:Large,Medium,Small,X-Large,XX-Large",1699.0,1189.0,30.0,top,blush,"['solid', 'polyester', 'v', 'neck', 'womens', 'top']"
kraus,super skinny fit ankle length cotton blend womens jeans,"Size:28,30,32,34,36,38",1895.0,947.0,50.0,jeans,dark blue,"['super', 'skinny', 'fit', 'ankle', 'length', 'cotton', 'blend', 'womens', 'jeans']"
kraus,skinny fit full length cotton blend womens jeans,"Size:28,30,32,36",1895.0,947.0,50.0,jeans,navy,"['skinny', 'fit', 'full', 'length', 'cotton', 'blend', 'womens', 'jeans']"
