BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,Colour
zink london,solid polyester scoop neck womens bodycon dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499.0,1499.0,40.0,bodycon dress,baby pink
rare,floral polyester v neck womens flared dress,"Size:Large,Medium,Small,X-Large",2099.0,944.0,55.0,flared dress,blue
fratini,solid round neck viscose womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,749.0,50.0,regular dress,black
iti,solid georgette collar neck womens top,"Size:Small,X-Small",1499.0,399.0,73.0,top,olive
rare,solid comfort fit polyester womens casual wear trousers,"Size:Large,Medium,Small,X-Large",1599.0,719.0,55.0,casual wear trousers,black
cover story,regular fit polyester womens casual trousers,"Size:26,28,30,32,34",2590.0,1813.0,30.0,casual trousers,pink
zink london,printed v neck polyester womens a-line dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2299.0,1149.0,50.0,a-line dress,green
and,polka dots boat neck viscose womens regular dresses,"Size:8,10,12,14,16,18",2899.0,2319.0,20.0,regular dresses,pink
van heusen,solid cotton v neck womens formal shirt,"Size:Large,Medium,Small",1999.0,799.0,60.0,formal shirt,green
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,yellow
life,solid cotton blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large",899.0,449.0,50.0,t-shirt,pink
faballey,printed georgette round neck womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",2800.0,2240.0,20.0,regular dress,pink
rare,floral polyester v neck womens flared dress,"Size:Large,Medium,Small",2099.0,944.0,55.0,flared dress,natural
rare,solid polyester round neck womens a-line dress,"Size:Large,Medium,Small,X-Large",1999.0,799.0,60.0,a-line dress,red
rare,solid georgette round neck womens top,"Size:Large,Small,X-Large",1399.0,559.0,60.0,top,maroon
stop,printed viscose regular neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",999.0,499.0,50.0,top,white
fratini,printed viscose collar neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,799.0,50.0,a-line dress,black
life,solid cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,off white
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",599.0,299.0,50.0,t-shirt,lilac
only,checks cotton womens top,"Size:34,36,38,40,42",1999.0,1399.0,30.0,top,white
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34,36",1299.0,649.0,50.0,jeans,white
van heusen,solid polyester collar neck womens top,"Size:Small,X-Small",1699.0,999.0,41.0,top,black
fratini,solid polyester round neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,799.0,50.0,a-line dress,aubergine
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,pink
fratini,solid round neck viscose womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,749.0,50.0,regular dress,tan
kraus,super skinny fit ankle length cotton blend womens jeans,"Size:28,30,32,34,36,38",1995.0,1396.0,30.0,jeans,blue
